file,dna_score,bucket
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from reference images_ Referen (8).png,98.47,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (10).png,94.4,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (14).png,97.56,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (18).png,97.64,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (21).png,98.02,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (25).png,98.57,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (29).png,95.85,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (32).png,98.03,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (36).png,98.0,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (4).png,96.81,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (5).png,98.04,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref (7).png,98.45,FACE_LOCK_V1
Gen-4 Turbo - Create ONE photorealistic image of the SAME EXACT WOMAN from the reference images_ Ref.png,98.0,FACE_LOCK_V1
Gen-4 Turbo - Modify minimally_Keep exact same woman_ same face_ same age_ same hair_ same office_ s.png,85.72,LIFESTYLE_LOCK_V1
Gen-4 Turbo - Modify uploaded image minimally_Keep exact same woman_ face_ age_ smile_ pose_ lightin.png,86.06,LIFESTYLE_LOCK_V1
Gen-4 Turbo - Modify uploaded image minimally_Preserve face identity EXACTLY_Do NOT redesign face_Do.png,85.33,LIFESTYLE_LOCK_V1
Gen-4 Turbo - Same exact uploaded woman_Hard identity lock_Preserve exact face_ age_ facial maturity _2_.png,85.37,LIFESTYLE_LOCK_V1
Gen-4 Turbo - SAME EXACT WOMAN FROM REFERENCE IMAGES_ REFERENCE IMAGES ARE ABSOLUTE GROUND TRUTH_ ZE _11_.png,95.36,FACE_LOCK_V1
Gen-4 Turbo - SAME EXACT WOMAN FROM REFERENCE IMAGES_ REFERENCE IMAGES ARE ABSOLUTE GROUND TRUTH_ ZE _15_.png,93.2,FACE_LOCK_V1
Gen-4 Turbo - SAME EXACT WOMAN FROM REFERENCE IMAGES_ REFERENCE IMAGES ARE ABSOLUTE GROUND TRUTH_ ZE _19_.png,91.47,FACE_LOCK_V1
Gen-4 Turbo - SAME EXACT WOMAN FROM REFERENCE IMAGES_ REFERENCE IMAGES ARE ABSOLUTE GROUND TRUTH_ ZE _7_.png,96.05,FACE_LOCK_V1
Gen-4 Turbo - SAME EXACT WOMAN FROM REFERENCE IMAGES_ REFERENCE IMAGES ARE ABSOLUTE GROUND TRUTH_ ZE _9_.png,98.4,FACE_LOCK_V1
Gen-4 Turbo - Same EXACT woman from reference_ HARD IDENTITY LOCK_Preserve EXACTLY same age_ facial _2_.png,92.66,FACE_LOCK_V1
Gen-4 Turbo - Same EXACT woman from reference_ HARD IDENTITY LOCK_Preserve EXACTLY same age_ facial.png,93.58,FACE_LOCK_V1
Gen-4 Turbo - Same EXACT woman from reference_ HARD IDENTITY LOCK_Preserve EXACTLY same face_ age_ f _1_.png,95.44,FACE_LOCK_V1
Gen-4 Turbo - Same EXACT woman from reference_ HARD IDENTITY LOCK_Preserve EXACTLY same face_ age_ f _3_.png,92.85,FACE_LOCK_V1
h.png,94.28,FACE_LOCK_V1
images_04.jpg,11.39,NEGATIVE_EXAMPLES
