"path","read_ok","bytes","class_count","function_count","import_count"
"MIND_CANON/CORE/ABSORBED/MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/mind-fin-pro-backend (1)/mind-fin-pro-backend/tests/test_oversight_step521.py","True","541","0","2","1"
"MIND_CANON/CORE/ABSORBED/MIND_CANON/CORE/__CORE_CANON/Analisados/FRONTENDS_FINAL_ANALISADOS_20260309_161726/RESTO_INBOX__MIND_MEGA_BUNDLE_20260211_185045__app/oversight/__init__.py","True","308","0","0","2"
"MIND_CANON/CORE/ABSORBED/MIND_CANON/CORE/__CORE_CANON/Analisados/FRONTENDS_FINAL_ANALISADOS_20260309_161726/RESTO_INBOX__MIND_MEGA_BUNDLE_20260211_185045__app/oversight/center.py","True","1246","2","5","3"
"MIND_CANON/CORE/CORE_CLEAN/MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/mind-fin-pro-backend (1)/mind-fin-pro-backend/tests/test_oversight_step521.py","True","541","0","2","1"
"MIND_CANON/CORE/CORE_CLEAN/MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/mind-platform/services/mind-fin-pro-backend/tests/test_oversight_step521.py","True","541","0","2","1"
"MIND_CANON/CORE/CORE_TRUE/MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/services/services/mind-fin-pro-backend/tests/test_oversight_step521.py","True","541","0","2","1"
"MIND_CANON/CORE/mind-platform/services/mind-fin-pro-backend/app/oversight/center.py","True","1236","2","5","2"
"MIND_CANON/CORE/__CORE_CANON/Backend_CANON/mind-fin-pro-backend/app/oversight/center.py","True","1236","2","5","2"
"MIND_CANON/CORE/__CORE_CANON/Backend_CANON/mind-fin-pro-backend/app/oversight/__init__.py","True","298","0","0","1"
"MIND_CANON/HISTORICO/mind-platform_CANON_20260222_212148/services/mind-fin-pro-backend/app/oversight/center.py","True","1236","2","5","2"
"MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/mind-platform/services/mind-fin-pro-backend/tests/test_oversight_step521.py","True","541","0","2","1"
"MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/mind-platform/services/mind-fin-pro-backend/app/oversight/__init__.py","True","298","0","0","1"
"MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/mind-fin-pro-backend (1)/mind-fin-pro-backend/tests/test_oversight_step521.py","True","541","0","2","1"
"MIND_CANON/QUARENTENA/__QUARENTENA_MASTER_20260301/Duplicados_20260225_114204/mind-fin-pro-backend (1)/mind-fin-pro-backend/app/oversight/__init__.py","True","298","0","0","1"
