"Path","LineNumber","Line"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\FIX_WHATSAPP_VISIBLE_SCOPE_FINAL_20260617_182826\patch_whatsapp_visible_scope.py","14","    ""        visible = run_cognitive_pipeline(sender_id, expanded_message)\n"""
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\FIX_WHATSAPP_VISIBLE_SCOPE_FINAL_20260617_182826\patch_whatsapp_visible_scope.py","19","    ""        visible = run_cognitive_pipeline(sender_id, expanded_message)\r\n"""
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\FIX_WHATSAPP_VISIBLE_SCOPE_FINAL_20260617_182826\patch_whatsapp_visible_scope.py","21","    ""        visible = run_cognitive_pipeline(sender_id, expanded_message)\r\n"""
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P17_ELDORA_VALUE_PROOF_HYBRID_20260616_205638\run_p17_eldora_value_proof.py","19","    ""avg_planner_score"": result[""avg_planner_score""],"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P_3_SAFE_RUNTIME_HOOK_DESIGN_20260617_191805\backup\app_api_whatsapp.py","53","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P_3_SAFE_RUNTIME_HOOK_DESIGN_20260617_191805\backup\app_api_whatsapp.py","472","        visible = run_cognitive_pipeline(sender_id, expanded_message)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P_3_SAFE_RUNTIME_HOOK_DESIGN_20260617_191805\backup\app_api_whatsapp.py","475","        visible = run_cognitive_pipeline(sender_id, inbound_text)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P_3_SAFE_RUNTIME_HOOK_DESIGN_20260617_191805\backup\app_api_whatsapp.py","505","    visible = run_cognitive_pipeline("
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P_3_SAFE_RUNTIME_HOOK_DESIGN_20260617_191805\backup\app_main.py","645","                primary_reply=""Vamos localizar a causa raiz, validar o hop problemático e corrigir sem quebrar o restante do pipeline."""
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P_3_SAFE_RUNTIME_HOOK_DESIGN_20260617_191805\backup\app_main.py","1129","    path = Path(""_evidence/WHATSAPP_RUNTIME_TRACE/RUNTIME_PIPELINE_TRACE.jsonl"")"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P_3_SAFE_RUNTIME_HOOK_DESIGN_20260617_192044\backup\app_api_whatsapp.py","53","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P_3_SAFE_RUNTIME_HOOK_DESIGN_20260617_192044\backup\app_api_whatsapp.py","472","        visible = run_cognitive_pipeline(sender_id, expanded_message)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P_3_SAFE_RUNTIME_HOOK_DESIGN_20260617_192044\backup\app_api_whatsapp.py","475","        visible = run_cognitive_pipeline(sender_id, inbound_text)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P_3_SAFE_RUNTIME_HOOK_DESIGN_20260617_192044\backup\app_api_whatsapp.py","505","    visible = run_cognitive_pipeline("
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P_3_SAFE_RUNTIME_HOOK_DESIGN_20260617_192044\backup\app_main.py","645","                primary_reply=""Vamos localizar a causa raiz, validar o hop problemático e corrigir sem quebrar o restante do pipeline."""
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P_3_SAFE_RUNTIME_HOOK_DESIGN_20260617_192044\backup\app_main.py","1129","    path = Path(""_evidence/WHATSAPP_RUNTIME_TRACE/RUNTIME_PIPELINE_TRACE.jsonl"")"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P11_PATCH_FAST_RETURN_BYPASS_20260618_054131\whatsapp_before.py","274","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P11_PATCH_FAST_RETURN_BYPASS_20260618_054131\whatsapp_before.py","710","        visible = run_cognitive_pipeline(sender_id, expanded_message)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P11_PATCH_FAST_RETURN_BYPASS_20260618_054131\whatsapp_before.py","713","        visible = run_cognitive_pipeline(sender_id, inbound_text)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P11_PATCH_FAST_RETURN_BYPASS_20260618_054131\whatsapp_before.py","743","    visible = run_cognitive_pipeline("
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P14_PATCH_UNIVERSAL_CONVERSATION_GUARD_BYPASS_20260618_055135\whatsapp_before.py","274","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P14_PATCH_UNIVERSAL_CONVERSATION_GUARD_BYPASS_20260618_055135\whatsapp_before.py","710","        visible = run_cognitive_pipeline(sender_id, expanded_message)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P14_PATCH_UNIVERSAL_CONVERSATION_GUARD_BYPASS_20260618_055135\whatsapp_before.py","713","        visible = run_cognitive_pipeline(sender_id, inbound_text)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P14_PATCH_UNIVERSAL_CONVERSATION_GUARD_BYPASS_20260618_055135\whatsapp_before.py","743","    visible = run_cognitive_pipeline("
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P16_CONFINEMENT_DOMAIN_INTERCEPTOR_20260618_055744\whatsapp_before.py","274","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P16_CONFINEMENT_DOMAIN_INTERCEPTOR_20260618_055744\whatsapp_before.py","710","        visible = run_cognitive_pipeline(sender_id, expanded_message)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P16_CONFINEMENT_DOMAIN_INTERCEPTOR_20260618_055744\whatsapp_before.py","713","        visible = run_cognitive_pipeline(sender_id, inbound_text)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P16_CONFINEMENT_DOMAIN_INTERCEPTOR_20260618_055744\whatsapp_before.py","743","    visible = run_cognitive_pipeline("
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P16_CONFINEMENT_DOMAIN_INTERCEPTOR_20260618_055843\whatsapp_before.py","291","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P16_CONFINEMENT_DOMAIN_INTERCEPTOR_20260618_055843\whatsapp_before.py","732","        visible = run_cognitive_pipeline(sender_id, expanded_message)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P16_CONFINEMENT_DOMAIN_INTERCEPTOR_20260618_055843\whatsapp_before.py","735","        visible = run_cognitive_pipeline(sender_id, inbound_text)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P16_CONFINEMENT_DOMAIN_INTERCEPTOR_20260618_055843\whatsapp_before.py","765","    visible = run_cognitive_pipeline("
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P16_CONSOLIDATED_DOMAIN_INTERCEPTOR_20260618_060119\whatsapp_before.py","291","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P16_CONSOLIDATED_DOMAIN_INTERCEPTOR_20260618_060119\whatsapp_before.py","732","        visible = run_cognitive_pipeline(sender_id, expanded_message)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P16_CONSOLIDATED_DOMAIN_INTERCEPTOR_20260618_060119\whatsapp_before.py","735","        visible = run_cognitive_pipeline(sender_id, inbound_text)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P16_CONSOLIDATED_DOMAIN_INTERCEPTOR_20260618_060119\whatsapp_before.py","765","    visible = run_cognitive_pipeline("
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P3_SAFE_RUNTIME_HOOK_20260617_192601\backup\app_api_whatsapp.py","53","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P3_SAFE_RUNTIME_HOOK_20260617_192601\backup\app_api_whatsapp.py","472","        visible = run_cognitive_pipeline(sender_id, expanded_message)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P3_SAFE_RUNTIME_HOOK_20260617_192601\backup\app_api_whatsapp.py","475","        visible = run_cognitive_pipeline(sender_id, inbound_text)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P3_SAFE_RUNTIME_HOOK_20260617_192601\backup\app_api_whatsapp.py","505","    visible = run_cognitive_pipeline("
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P3_SAFE_RUNTIME_HOOK_20260617_192601\backup\app_main.py","645","                primary_reply=""Vamos localizar a causa raiz, validar o hop problemático e corrigir sem quebrar o restante do pipeline."""
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P3_SAFE_RUNTIME_HOOK_20260617_192601\backup\app_main.py","1129","    path = Path(""_evidence/WHATSAPP_RUNTIME_TRACE/RUNTIME_PIPELINE_TRACE.jsonl"")"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P3_SAFE_RUNTIME_HOOK_20260617_205319\backup\app_api_whatsapp.py","53","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P3_SAFE_RUNTIME_HOOK_20260617_205319\backup\app_api_whatsapp.py","472","        visible = run_cognitive_pipeline(sender_id, expanded_message)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P3_SAFE_RUNTIME_HOOK_20260617_205319\backup\app_api_whatsapp.py","475","        visible = run_cognitive_pipeline(sender_id, inbound_text)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P3_SAFE_RUNTIME_HOOK_20260617_205319\backup\app_api_whatsapp.py","505","    visible = run_cognitive_pipeline("
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P3_SAFE_RUNTIME_HOOK_20260617_205319\backup\app_main.py","645","                primary_reply=""Vamos localizar a causa raiz, validar o hop problemático e corrigir sem quebrar o restante do pipeline."""
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P3_SAFE_RUNTIME_HOOK_20260617_205319\backup\app_main.py","1129","    path = Path(""_evidence/WHATSAPP_RUNTIME_TRACE/RUNTIME_PIPELINE_TRACE.jsonl"")"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P3_SAFE_RUNTIME_INTEGRATION_20260617_210634\whatsapp_before.py","53","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P3_SAFE_RUNTIME_INTEGRATION_20260617_210634\whatsapp_before.py","472","        visible = run_cognitive_pipeline(sender_id, expanded_message)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P3_SAFE_RUNTIME_INTEGRATION_20260617_210634\whatsapp_before.py","475","        visible = run_cognitive_pipeline(sender_id, inbound_text)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P3_SAFE_RUNTIME_INTEGRATION_20260617_210634\whatsapp_before.py","505","    visible = run_cognitive_pipeline("
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P5_AUTOMOTIVE_ROUTER_CORRECTION_20260617_212440\cognitive_pipeline_before.py","25","def run_cognitive_pipeline(user_id: str, message: str) -> dict:"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P5_AUTOMOTIVE_ROUTER_CORRECTION_20260617_212440\cognitive_pipeline_before.py","174","                ""simulation_context"","
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P5_AUTOMOTIVE_ROUTER_CORRECTION_20260617_212440\patch_cognitive_pipeline_p19p5.py","3","p = Path(""app/runtime/cognitive_pipeline.py"")"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P5_FIX_COGNITIVE_PIPELINE_INDENT_20260617_213029\cognitive_pipeline_broken_before_fix.py","25","def run_cognitive_pipeline(user_id: str, message: str) -> dict:"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P5_FIX_COGNITIVE_PIPELINE_INDENT_20260617_213029\cognitive_pipeline_broken_before_fix.py","185","                ""simulation_context"","
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P5_FIX_COGNITIVE_PIPELINE_INDENT_20260617_213029\fix_indent_precise.py","3","p = Path(""app/runtime/cognitive_pipeline.py"")"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P5_FIX_INDENT_AND_TEXT_20260617_212825\cognitive_pipeline_before_fix.py","25","def run_cognitive_pipeline(user_id: str, message: str) -> dict:"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P5_FIX_INDENT_AND_TEXT_20260617_212825\cognitive_pipeline_before_fix.py","185","                ""simulation_context"","
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P5_FIX_INDENT_AND_TEXT_20260617_212825\fix_p19p5.py","15","# 2) Corrigir indentação no cognitive_pipeline.py perto do save_message"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P5_FIX_INDENT_AND_TEXT_20260617_212825\fix_p19p5.py","16","p = Path(""app/runtime/cognitive_pipeline.py"")"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P5_ROLLBACK_COGNITIVE_PIPELINE_20260617_213120\cognitive_pipeline_broken.py","25","def run_cognitive_pipeline(user_id: str, message: str) -> dict:"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P5_ROLLBACK_COGNITIVE_PIPELINE_20260617_213120\cognitive_pipeline_broken.py","185","                ""simulation_context"","
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P5_WHATSAPP_FINAL_GUARD_ONLY_20260617_213355\whatsapp_before.py","65","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P5_WHATSAPP_FINAL_GUARD_ONLY_20260617_213355\whatsapp_before.py","501","        visible = run_cognitive_pipeline(sender_id, expanded_message)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P5_WHATSAPP_FINAL_GUARD_ONLY_20260617_213355\whatsapp_before.py","504","        visible = run_cognitive_pipeline(sender_id, inbound_text)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P5_WHATSAPP_FINAL_GUARD_ONLY_20260617_213355\whatsapp_before.py","534","    visible = run_cognitive_pipeline("
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P6_ENCODING_CLEANUP_20260617_221555\whatsapp_before_encoding_cleanup.py","127","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P6_ENCODING_CLEANUP_20260617_221555\whatsapp_before_encoding_cleanup.py","563","        visible = run_cognitive_pipeline(sender_id, expanded_message)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P6_ENCODING_CLEANUP_20260617_221555\whatsapp_before_encoding_cleanup.py","566","        visible = run_cognitive_pipeline(sender_id, inbound_text)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P6_ENCODING_CLEANUP_20260617_221555\whatsapp_before_encoding_cleanup.py","596","    visible = run_cognitive_pipeline("
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P6_ENCODING_CLEANUP_20260617_221607\whatsapp_before_encoding_cleanup.py","127","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P6_ENCODING_CLEANUP_20260617_221607\whatsapp_before_encoding_cleanup.py","563","        visible = run_cognitive_pipeline(sender_id, expanded_message)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P6_ENCODING_CLEANUP_20260617_221607\whatsapp_before_encoding_cleanup.py","566","        visible = run_cognitive_pipeline(sender_id, inbound_text)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P6_ENCODING_CLEANUP_20260617_221607\whatsapp_before_encoding_cleanup.py","596","    visible = run_cognitive_pipeline("
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P6_WHATSAPP_FOLLOWUP_EXPANSION_20260617_214558\whatsapp_before.py","90","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P6_WHATSAPP_FOLLOWUP_EXPANSION_20260617_214558\whatsapp_before.py","526","        visible = run_cognitive_pipeline(sender_id, expanded_message)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P6_WHATSAPP_FOLLOWUP_EXPANSION_20260617_214558\whatsapp_before.py","529","        visible = run_cognitive_pipeline(sender_id, inbound_text)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P6_WHATSAPP_FOLLOWUP_EXPANSION_20260617_214558\whatsapp_before.py","559","    visible = run_cognitive_pipeline("
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P7_CONTEXT_MEMORY_FOLLOWUP_EXPANSION_20260618_044115\whatsapp_before.py","127","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P7_CONTEXT_MEMORY_FOLLOWUP_EXPANSION_20260618_044115\whatsapp_before.py","563","        visible = run_cognitive_pipeline(sender_id, expanded_message)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P7_CONTEXT_MEMORY_FOLLOWUP_EXPANSION_20260618_044115\whatsapp_before.py","566","        visible = run_cognitive_pipeline(sender_id, inbound_text)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P7_CONTEXT_MEMORY_FOLLOWUP_EXPANSION_20260618_044115\whatsapp_before.py","596","    visible = run_cognitive_pipeline("
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P8_GENERIC_RESTART_SUPPRESSION_20260618_044824\whatsapp_before.py","190","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P8_GENERIC_RESTART_SUPPRESSION_20260618_044824\whatsapp_before.py","626","        visible = run_cognitive_pipeline(sender_id, expanded_message)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P8_GENERIC_RESTART_SUPPRESSION_20260618_044824\whatsapp_before.py","629","        visible = run_cognitive_pipeline(sender_id, inbound_text)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P8_GENERIC_RESTART_SUPPRESSION_20260618_044824\whatsapp_before.py","659","    visible = run_cognitive_pipeline("
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P9_WHATSAPP_RETURN_COVERAGE_AUDIT_20260618_045210\whatsapp_before.py","247","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P9_WHATSAPP_RETURN_COVERAGE_AUDIT_20260618_045210\whatsapp_before.py","683","        visible = run_cognitive_pipeline(sender_id, expanded_message)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P9_WHATSAPP_RETURN_COVERAGE_AUDIT_20260618_045210\whatsapp_before.py","686","        visible = run_cognitive_pipeline(sender_id, inbound_text)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P19P9_WHATSAPP_RETURN_COVERAGE_AUDIT_20260618_045210\whatsapp_before.py","716","    visible = run_cognitive_pipeline("
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4_12N_RUNTIME_FORENSIC_AUDIT_20260523_123903\instrument_forensic.py","14","TRACE_FILE = TRACE_DIR / ""RUNTIME_PIPELINE_TRACE.jsonl"""
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4_12N_RUNTIME_FORENSIC_AUDIT_20260523_123903\instrument_forensic.py","34","        ""reasoning_mode"": _short(kw.get(""reasoning_mode"")),"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4_60_FIXED_20260618_085517\pipeline_patch.py","1","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4_60_FIXED_20260618_085517\pipeline_patch.py","11","def run_enhanced_pipeline(user_id: str, message: str):"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4_60_FIXED_20260618_085517\pipeline_patch.py","14","    return run_cognitive_pipeline(user_id, enriched)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4_60_MEMORY_INJECTION_20260618_085231\pipeline_patch.py","1","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4_60_MEMORY_INJECTION_20260618_085231\pipeline_patch.py","4","def run_enhanced_pipeline(user_id: str, message: str):"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4_60_MEMORY_INJECTION_20260618_085231\pipeline_patch.py","9","    return run_cognitive_pipeline(user_id, enriched_message)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4_61_FIXED_20260618_085804\memory_layer\memory_preprocessor.py","11","        context.append(""risk_simulation"")"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4_61_FIXED_20260618_085804\pipeline_patch.py","8","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4_61_FIXED_20260618_085804\pipeline_patch.py","10","def run_enhanced_pipeline(user_id: str, message: str):"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4_61_FIXED_20260618_085804\pipeline_patch.py","16","    return run_cognitive_pipeline(user_id, enriched)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4_61_REAL_MEMORY_INJECTION_20260618_085716\memory_preprocessor.py","11","        context.append(""risk_simulation"")"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4_61_REAL_MEMORY_INJECTION_20260618_085716\pipeline_patch.py","1","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4_61_REAL_MEMORY_INJECTION_20260618_085716\pipeline_patch.py","4","def run_enhanced_pipeline(user_id: str, message: str):"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4_61_REAL_MEMORY_INJECTION_20260618_085716\pipeline_patch.py","11","    return run_cognitive_pipeline(user_id, enriched_payload)"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4_DAEMON_20260618_082412\daemon.py","2","from app.runtime.cognitive_pipeline import run_cognitive_pipeline"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4_DAEMON_20260618_082412\daemon.py","8","        r = run_cognitive_pipeline("
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4.48D_LEVEL_B_COGNITIVE_PIPELINE_SHADOW_INJECTION_20260617_192059\cognitive_pipeline_before_20260617_192059.py","25","def run_cognitive_pipeline(user_id: str, message: str) -> dict:"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4.48E_LEVEL_B_OUTPUT_INFLUENCE_CONTROLLED_20260617_205031\cognitive_pipeline_before_20260617_205031.py","25","def run_cognitive_pipeline(user_id: str, message: str) -> dict:"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4.49D_DYNAMIC_COMPOSER_PIPELINE_INTEGRATION_20260617_214019\cognitive_pipeline_before_20260617_214019.py","25","def run_cognitive_pipeline(user_id: str, message: str) -> dict:"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\_evidence\P4.49D_DYNAMIC_COMPOSER_PIPELINE_INTEGRATION_20260617_214019\cognitive_pipeline_before_20260617_214019.py","174","                ""simulation_context"","
