"FullName","Name","Extension","Length","LastWriteTime"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g38_bushwacker_graph_snapshot.py","p56g38_bushwacker_graph_snapshot.py",".py","2376","14/06/2026 16:45:25"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P56G4_STRICT_ENTITY_VALIDATOR_SNAPSHOT.json","P56G4_STRICT_ENTITY_VALIDATOR_SNAPSHOT.json",".json","3232","11/06/2026 15:55:16"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g51_final_genetic_economic_snapshot.py","p56g51_final_genetic_economic_snapshot.py",".py","2965","14/06/2026 21:11:42"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g52_source_evidence_binding_audit.py","p56g52_source_evidence_binding_audit.py",".py","3229","14/06/2026 21:14:11"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g55_final_certification_snapshot.py","p56g55_final_certification_snapshot.py",".py","4652","14/06/2026 21:29:16"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g56_promotion_policy_audit.py","p56g56_promotion_policy_audit.py",".py","2332","14/06/2026 21:31:34"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g58_final_post_promotion_audit.py","p56g58_final_post_promotion_audit.py",".py","2638","14/06/2026 21:36:08"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g59a_valuation_schema_audit.py","p56g59a_valuation_schema_audit.py",".py","990","14/06/2026 21:58:01"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g6_audit_new_edges.py","p56g6_audit_new_edges.py",".py","470","11/06/2026 16:15:24"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g6_parent_quality_audit.py","p56g6_parent_quality_audit.py",".py","433","11/06/2026 16:16:16"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g60_final_graph_valuation_audit.py","p56g60_final_graph_valuation_audit.py",".py","2882","14/06/2026 22:01:51"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56g8_parent_promotion_audit.py","p56g8_parent_promotion_audit.py",".py","2095","11/06/2026 16:24:13"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\P56G8_REAL_PARENT_PROMOTION_AUDIT.json","P56G8_REAL_PARENT_PROMOTION_AUDIT.json",".json","1814","11/06/2026 16:24:18"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56h_ai_provider_audit_and_ytdlp_schema_safe.json","p56h_ai_provider_audit_and_ytdlp_schema_safe.json",".json","8833","10/06/2026 18:46:59"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\p56h_ai_provider_audit_and_ytdlp_schema_safe.py","p56h_ai_provider_audit_and_ytdlp_schema_safe.py",".py","2656","10/06/2026 18:42:32"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\patch_routes_audit.py","patch_routes_audit.py",".py","338","18/05/2026 10:33:09"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\patch_snapshot_count_exact.py","patch_snapshot_count_exact.py",".py","934","10/06/2026 13:05:28"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\pedigree_audit.py","pedigree_audit.py",".py","593","11/06/2026 14:18:23"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\runtime_health_matrix.json","runtime_health_matrix.json",".json","4238","18/05/2026 19:34:12"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\SUPABASE_CONNECTION_SCAN.txt","SUPABASE_CONNECTION_SCAN.txt",".txt","65777","11/06/2026 13:25:57"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\numpy\matrixlib\defmatrix.py","defmatrix.py",".py","31994","19/05/2026 15:06:50"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\numpy\matrixlib\defmatrix.pyi","defmatrix.pyi",".pyi","11284","19/05/2026 15:06:50"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\numpy\matrixlib\tests\test_defmatrix.py","test_defmatrix.py",".py","15405","19/05/2026 15:06:50"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\numpy\matrixlib\tests\test_masked_matrix.py","test_masked_matrix.py",".py","9062","19/05/2026 15:06:50"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\numpy\matrixlib\tests\test_matrix_linalg.py","test_matrix_linalg.py",".py","2341","19/05/2026 15:06:50"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\numpy\typing\tests\data\reveal\matrix.pyi","matrix.pyi",".pyi","2903","19/05/2026 15:06:50"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\resources\admin\organization\audit_logs.py","audit_logs.py",".py","15678","19/05/2026 15:07:52"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\admin\organization\audit_log_list_params.py","audit_log_list_params.py",".py","4366","19/05/2026 15:07:53"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\openai\types\admin\organization\audit_log_list_response.py","audit_log_list_response.py",".py","31342","19/05/2026 15:07:53"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\pip\_vendor\pygments\scanner.py","scanner.py",".py","3092","19/05/2026 15:05:46"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\pygments\scanner.py","scanner.py",".py","3095","19/05/2026 15:08:35"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\.venv\Lib\site-packages\yaml\scanner.py","scanner.py",".py","51279","19/05/2026 15:06:43"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\admin\env_audit.py","env_audit.py",".py","680","23/05/2026 19:48:46"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\admin\__pycache__\env_audit.cpython-312.pyc","env_audit.cpython-312.pyc",".pyc","943","03/06/2026 14:30:09"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\eldora\core\audit_ledger.py","audit_ledger.py",".py","291","23/05/2026 19:48:48"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\eldora\core\__pycache__\audit_ledger.cpython-312.pyc","audit_ledger.cpython-312.pyc",".pyc","681","03/06/2026 14:30:10"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\mind\p5_5z_executive_snapshot\snapshot.py","snapshot.py",".py","3918","10/06/2026 13:05:28"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\mind\p5_5z_executive_snapshot\__pycache__\snapshot.cpython-312.pyc","snapshot.cpython-312.pyc",".pyc","6200","10/06/2026 13:05:29"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\modules\usde_core\ledger.py","ledger.py",".py","1217","06/06/2026 15:21:51"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\modules\usde_core\scientific_ledger.py","scientific_ledger.py",".py","802","06/06/2026 15:59:15"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\modules\usde_core\__pycache__\ledger.cpython-312.pyc","ledger.cpython-312.pyc",".pyc","2692","06/06/2026 15:21:55"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\modules\usde_core\__pycache__\scientific_ledger.cpython-312.pyc","scientific_ledger.cpython-312.pyc",".pyc","1893","06/06/2026 15:59:15"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\runtime\persona_leak_scanner.py","persona_leak_scanner.py",".py","900","23/05/2026 19:48:48"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\runtime\provider_runtime_matrix.py","provider_runtime_matrix.py",".py","1167","23/05/2026 19:48:48"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\runtime\__pycache__\persona_leak_scanner.cpython-312.pyc","persona_leak_scanner.cpython-312.pyc",".pyc","1782","03/06/2026 14:30:13"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\app\runtime\__pycache__\provider_runtime_matrix.cpython-312.pyc","provider_runtime_matrix.cpython-312.pyc",".pyc","2872","03/06/2026 14:30:13"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\evidence\ELDORA_OBSERVABILITY_AUDIT_DI_REPORT.json","ELDORA_OBSERVABILITY_AUDIT_DI_REPORT.json",".json","256","18/05/2026 10:33:09"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\evidence\ELDORA_SUPABASE_PERSISTENT_AUDIT_EVENT_STORE_REPORT.json","ELDORA_SUPABASE_PERSISTENT_AUDIT_EVENT_STORE_REPORT.json",".json","242","18/05/2026 10:33:09"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\p56g30e_edge_reconciliation_audit.py","p56g30e_edge_reconciliation_audit.py",".py","3540","14/06/2026 16:03:53"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\PTO_file_inventory.csv","PTO_file_inventory.csv",".csv","401260","10/06/2026 13:04:43"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\PTO_operational_inventory.csv","PTO_operational_inventory.csv",".csv","74987","10/06/2026 13:04:43"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\app\audits\final_certified_snapshot.py","final_certified_snapshot.py",".py","1153","09/06/2026 11:05:27"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\app\audits\institutional_audit_ledger.py","institutional_audit_ledger.py",".py","3563","08/06/2026 16:12:05"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\app\audits\release_audit_gate.py","release_audit_gate.py",".py","1704","08/06/2026 17:51:46"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\app\audits\transfer_snapshot.py","transfer_snapshot.py",".py","1281","08/06/2026 17:53:07"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\app\audits\__pycache__\final_certified_snapshot.cpython-312.pyc","final_certified_snapshot.cpython-312.pyc",".pyc","1829","10/06/2026 14:12:28"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\app\audits\__pycache__\institutional_audit_ledger.cpython-312.pyc","institutional_audit_ledger.cpython-312.pyc",".pyc","5730","10/06/2026 14:12:28"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\app\audits\__pycache__\release_audit_gate.cpython-312.pyc","release_audit_gate.cpython-312.pyc",".pyc","2186","10/06/2026 14:12:28"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\app\audits\__pycache__\transfer_snapshot.cpython-312.pyc","transfer_snapshot.cpython-312.pyc",".pyc","1978","10/06/2026 14:12:28"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\app\cli\final_audit_cli.py","final_audit_cli.py",".py","1769","08/06/2026 18:41:23"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\app\cli\__pycache__\final_audit_cli.cpython-312.pyc","final_audit_cli.cpython-312.pyc",".pyc","2669","10/06/2026 14:12:28"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\logs\FTMO_SIMULATION_LEDGER.jsonl","FTMO_SIMULATION_LEDGER.jsonl",".jsonl","87356","09/06/2026 11:39:50"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\logs\P8.38_REPLAY_LEDGER.jsonl","P8.38_REPLAY_LEDGER.jsonl",".jsonl","86797","09/06/2026 11:39:52"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\logs\P8.43_INSTITUTIONAL_AUDIT_LEDGER.jsonl","P8.43_INSTITUTIONAL_AUDIT_LEDGER.jsonl",".jsonl","776198","09/06/2026 11:40:02"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\logs\P8.50_DAILY_PAPER_LEDGER.jsonl","P8.50_DAILY_PAPER_LEDGER.jsonl",".jsonl","134112","09/06/2026 11:40:01"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\logs\P8.95_PAPER_BROKER_LEDGER.jsonl","P8.95_PAPER_BROKER_LEDGER.jsonl",".jsonl","17484","09/06/2026 11:39:54"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\mind_trader\logs\FTMO_SIMULATION_LEDGER.jsonl","FTMO_SIMULATION_LEDGER.jsonl",".jsonl","133640","14/06/2026 13:22:34"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\mind_trader\logs\P8.38_REPLAY_LEDGER.jsonl","P8.38_REPLAY_LEDGER.jsonl",".jsonl","154570","14/06/2026 13:22:37"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\mind_trader\logs\P8.43_INSTITUTIONAL_AUDIT_LEDGER.jsonl","P8.43_INSTITUTIONAL_AUDIT_LEDGER.jsonl",".jsonl","2116923","14/06/2026 13:22:50"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\mind_trader\logs\P8.50_DAILY_PAPER_LEDGER.jsonl","P8.50_DAILY_PAPER_LEDGER.jsonl",".jsonl","396240","14/06/2026 13:22:47"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\mind_trader\logs\P8.95_PAPER_BROKER_LEDGER.jsonl","P8.95_PAPER_BROKER_LEDGER.jsonl",".jsonl","473200","14/06/2026 13:22:39"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\mind_trader\reports\P8.46_ftmo_rule_audit.json","P8.46_ftmo_rule_audit.json",".json","977","14/06/2026 13:22:52"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\mind_trader\reports\P8.54_release_audit_gate.json","P8.54_release_audit_gate.json",".json","1665","14/06/2026 13:22:50"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\mind_trader\reports\P8.55_transfer_snapshot.json","P8.55_transfer_snapshot.json",".json","6154","14/06/2026 13:22:44"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\mind_trader\reports\P8.74_final_audit.json","P8.74_final_audit.json",".json","10797","14/06/2026 13:22:50"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\mind_trader\reports\P8.91_final_certified_snapshot.json","P8.91_final_certified_snapshot.json",".json","2027","14/06/2026 13:22:51"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\PTO_EXPORT_20260610_130626\01_root_inventory.txt","01_root_inventory.txt",".txt","1208","10/06/2026 13:06:26"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\PTO_EXPORT_20260610_130626\02_full_inventory.csv","02_full_inventory.csv",".csv","401921","10/06/2026 13:06:26"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\PTO_EXPORT_20260610_130626\04_tools_inventory.txt","04_tools_inventory.txt",".txt","1246","10/06/2026 13:06:27"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\PTO_EXPORT_20260610_130626\05_profit_import_inventory.txt","05_profit_import_inventory.txt",".txt","10387","10/06/2026 13:06:27"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\PTO_EXPORT_20260610_131134\01_root_inventory.txt","01_root_inventory.txt",".txt","1357","10/06/2026 13:11:34"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\PTO_EXPORT_20260610_131134\02_full_inventory.csv","02_full_inventory.csv",".csv","403031","10/06/2026 13:11:35"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\PTO_EXPORT_20260610_131134\04_tools_inventory.txt","04_tools_inventory.txt",".txt","1246","10/06/2026 13:11:35"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\PTO_EXPORT_20260610_131134\05_profit_import_inventory.txt","05_profit_import_inventory.txt",".txt","10387","10/06/2026 13:11:35"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P8.46_ftmo_rule_audit.json","P8.46_ftmo_rule_audit.json",".json","977","09/06/2026 11:40:04"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P8.54_release_audit_gate.json","P8.54_release_audit_gate.json",".json","1665","09/06/2026 11:40:02"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P8.55_transfer_snapshot.json","P8.55_transfer_snapshot.json",".json","6264","09/06/2026 11:39:58"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P8.74_final_audit.json","P8.74_final_audit.json",".json","10961","09/06/2026 11:40:02"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P8.91_final_certified_snapshot.json","P8.91_final_certified_snapshot.json",".json","2027","09/06/2026 11:40:04"
"C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\reports\P10.6_REAL_DATA_RESEARCH_CERTIFICATION\P10_STATE_SNAPSHOT.json","P10_STATE_SNAPSHOT.json",".json","1350","14/06/2026 13:11:26"
