"name","path","modified","hit"
"BullishBearish MeetingLines Stoch.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\BullishBearish MeetingLines Stoch.mq5","09/06/2026 17:01:34","Symbol"
"DarkCloud PiercingLine CCI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\DarkCloud PiercingLine CCI.mq5","09/06/2026 17:01:34","Symbol"
"DarkCloud PiercingLine MFI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\DarkCloud PiercingLine MFI.mq5","09/06/2026 17:01:34","Symbol"
"DarkCloud PiercingLine RSI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\DarkCloud PiercingLine RSI.mq5","09/06/2026 17:01:34","Symbol"
"DarkCloud PiercingLine Stoch.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\DarkCloud PiercingLine Stoch.mq5","09/06/2026 17:01:34","Symbol"
"HangingMan Hammer CCI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\HangingMan Hammer CCI.mq5","09/06/2026 17:01:34","Symbol"
"HangingMan Hammer MFI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\HangingMan Hammer MFI.mq5","09/06/2026 17:01:34","Symbol"
"HangingMan Hammer RSI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\HangingMan Hammer RSI.mq5","09/06/2026 17:01:34","Symbol"
"HangingMan Hammer Stoch.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\HangingMan Hammer Stoch.mq5","09/06/2026 17:01:34","Symbol"
"MorningEvening StarDoji CCI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\MorningEvening StarDoji CCI.mq5","09/06/2026 17:01:34","Symbol"
"MorningEvening StarDoji MFI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\MorningEvening StarDoji MFI.mq5","09/06/2026 17:01:34","Symbol"
"MorningEvening StarDoji RSI.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\MorningEvening StarDoji RSI.mq5","09/06/2026 17:01:34","Symbol"
"MorningEvening StarDoji Stoch.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Free Robots\MorningEvening StarDoji Stoch.mq5","09/06/2026 17:01:34","Symbol"
"MIND_FileBridge.mq5","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\MIND\MIND_FileBridge.mq5","18/06/2026 13:17:59","MIND"
"mt5_order_ps_log.txt","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Files\mt5_order_ps_log.txt","18/06/2026 12:19:01","Mind"
"Array.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Arrays\Array.mqh","09/06/2026 17:01:34","order"
"List.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Arrays\List.mqh","09/06/2026 17:01:34","order"
"Canvas.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Canvas\Canvas.mqh","09/06/2026 17:01:34","order"
"FlameCanvas.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Canvas\FlameCanvas.mqh","09/06/2026 17:01:34","symbol"
"ChartCanvas.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Canvas\Charts\ChartCanvas.mqh","09/06/2026 17:01:34","order"
"HistogramChart.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Canvas\Charts\HistogramChart.mqh","09/06/2026 17:01:34","order"
"LineChart.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Canvas\Charts\LineChart.mqh","09/06/2026 17:01:34","order"
"PieChart.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Canvas\Charts\PieChart.mqh","09/06/2026 17:01:34","order"
"DXDispatcher.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Canvas\DX\DXDispatcher.mqh","09/06/2026 17:01:34","FileOpen"
"DXMath.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Canvas\DX\DXMath.mqh","09/06/2026 17:01:34","ORDER"
"DXShader.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Canvas\DX\DXShader.mqh","09/06/2026 17:01:34","COMMON"
"DXUtils.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Canvas\DX\DXUtils.mqh","09/06/2026 17:01:34","order"
"ChartObject.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\ChartObjects\ChartObject.mqh","09/06/2026 17:01:34","Order"
"ChartObjectsArrows.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\ChartObjects\ChartObjectsArrows.mqh","09/06/2026 17:01:34","symbol"
"ChartObjectsTxtControls.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\ChartObjects\ChartObjectsTxtControls.mqh","09/06/2026 17:01:34","order"
"ChartObjectSubChart.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\ChartObjects\ChartObjectSubChart.mqh","09/06/2026 17:01:34","Symbol"
"Chart.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Charts\Chart.mqh","09/06/2026 17:01:34","common"
"BmpButton.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\BmpButton.mqh","09/06/2026 17:01:34","order"
"Button.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\Button.mqh","09/06/2026 17:01:34","order"
"CheckBox.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\CheckBox.mqh","09/06/2026 17:01:34","Common"
"CheckGroup.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\CheckGroup.mqh","09/06/2026 17:01:34","Common"
"ComboBox.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\ComboBox.mqh","09/06/2026 17:01:34","Common"
"DateDropList.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\DateDropList.mqh","09/06/2026 17:01:34","Common"
"DatePicker.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\DatePicker.mqh","09/06/2026 17:01:34","Common"
"Defines.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\Defines.mqh","09/06/2026 17:01:34","order"
"Dialog.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\Dialog.mqh","09/06/2026 17:01:34","order"
"Edit.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\Edit.mqh","09/06/2026 17:01:34","order"
"ListView.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\ListView.mqh","09/06/2026 17:01:34","Common"
"Panel.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\Panel.mqh","09/06/2026 17:01:34","ORDER"
"Picture.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\Picture.mqh","09/06/2026 17:01:34","order"
"RadioButton.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\RadioButton.mqh","09/06/2026 17:01:34","Common"
"RadioGroup.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\RadioGroup.mqh","09/06/2026 17:01:34","Common"
"Rect.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\Rect.mqh","09/06/2026 17:01:34","action"
"Scrolls.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\Scrolls.mqh","09/06/2026 17:01:34","Common"
"SpinEdit.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\SpinEdit.mqh","09/06/2026 17:01:34","Common"
"Wnd.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\Wnd.mqh","09/06/2026 17:01:34","order"
"WndClient.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\WndClient.mqh","09/06/2026 17:01:34","order"
"WndContainer.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\WndContainer.mqh","09/06/2026 17:01:34","Common"
"WndObj.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Controls\WndObj.mqh","09/06/2026 17:01:34","order"
"Expert.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Expert.mqh","09/06/2026 17:01:34","order"
"ExpertBase.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\ExpertBase.mqh","09/06/2026 17:01:34","Symbol"
"ExpertMoney.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\ExpertMoney.mqh","09/06/2026 17:01:34","symbol"
"ExpertSignal.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\ExpertSignal.mqh","09/06/2026 17:01:34","order"
"ExpertTrade.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\ExpertTrade.mqh","09/06/2026 17:01:34","Symbol"
"MoneyFixedLot.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Money\MoneyFixedLot.mqh","09/06/2026 17:01:34","symbol"
"MoneyFixedMargin.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Money\MoneyFixedMargin.mqh","09/06/2026 17:01:34","symbol"
"MoneyFixedRisk.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Money\MoneyFixedRisk.mqh","09/06/2026 17:01:34","symbol"
"MoneyNone.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Money\MoneyNone.mqh","09/06/2026 17:01:34","symbol"
"MoneySizeOptimized.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Money\MoneySizeOptimized.mqh","09/06/2026 17:01:34","symbol"
"SignalAC.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Signal\SignalAC.mqh","09/06/2026 17:01:34","symbol"
"SignalAMA.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Signal\SignalAMA.mqh","09/06/2026 17:01:34","symbol"
"SignalAO.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Signal\SignalAO.mqh","09/06/2026 17:01:34","symbol"
"SignalBearsPower.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Signal\SignalBearsPower.mqh","09/06/2026 17:01:34","symbol"
"SignalBullsPower.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Signal\SignalBullsPower.mqh","09/06/2026 17:01:34","symbol"
"SignalCCI.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Signal\SignalCCI.mqh","09/06/2026 17:01:34","symbol"
"SignalDEMA.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Signal\SignalDEMA.mqh","09/06/2026 17:01:34","symbol"
"SignalDeMarker.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Signal\SignalDeMarker.mqh","09/06/2026 17:01:34","symbol"
"SignalEnvelopes.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Signal\SignalEnvelopes.mqh","09/06/2026 17:01:34","order"
"SignalFrAMA.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Signal\SignalFrAMA.mqh","09/06/2026 17:01:34","symbol"
"SignalMA.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Signal\SignalMA.mqh","09/06/2026 17:01:34","symbol"
"SignalMACD.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Signal\SignalMACD.mqh","09/06/2026 17:01:34","symbol"
"SignalRSI.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Signal\SignalRSI.mqh","09/06/2026 17:01:34","symbol"
"SignalRVI.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Signal\SignalRVI.mqh","09/06/2026 17:01:34","symbol"
"SignalSAR.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Signal\SignalSAR.mqh","09/06/2026 17:01:34","symbol"
"SignalStoch.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Signal\SignalStoch.mqh","09/06/2026 17:01:34","symbol"
"SignalTEMA.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Signal\SignalTEMA.mqh","09/06/2026 17:01:34","symbol"
"SignalTRIX.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Signal\SignalTRIX.mqh","09/06/2026 17:01:34","symbol"
"SignalWPR.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Signal\SignalWPR.mqh","09/06/2026 17:01:34","symbol"
"TrailingFixedPips.mqh","C:\Users\MindFin\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Include\Expert\Trailing\TrailingFixedPips.mqh","09/06/2026 17:01:34","symbol"
